,Unnamed: 0,법정동,인구수,택배함 개수,물류창고 개수,전기차 등록 수,충전소 개수,전기차한대당충전소개수
0,2,궁정동,390,1,0,55,0,0.0
1,14,사직동,3737,0,0,0,1,0.0
2,17,내수동,2410,0,0,146,1,0.00684931507
3,23,수송동,202,0,0,0,1,0.0
4,29,와룡동,147,0,0,132,0,0.0
5,34,관철동,186,0,0,0,1,0.0
6,39,삼청동,1587,0,0,9,0,0.0
7,41,소격동,165,0,0,0,1,0.0
8,47,계동,1154,0,0,23,0,0.0
9,55,종로3가,79,0,0,0,1,0.0
10,61,효제동,768,0,0,9,0,0.0
11,64,이화동,2154,0,0,25,0,0.0
12,65,연건동,1759,0,0,0,3,0.0
13,68,혜화동,3522,1,0,28,1,0.0357142857
14,73,창신동,21251,1,0,21,3,0.142857143
15,74,숭인동,15906,2,0,21,1,0.0476190476
16,80,행촌동,4929,0,0,41,0,0.0
17,81,구기동,5928,0,0,0,1,0.0
18,82,평창동,12824,0,0,90,0,0.0
19,83,부암동,4564,0,0,32,0,0.0
20,86,무악동,8155,0,0,22,2,0.0909090909
21,88,다동,60,0,0,0,1,0.0
22,89,태평로1가,0,0,0,0,1,0.0
23,97,소공동,0,0,0,305,0,0.0
24,100,태평로2가,63,0,0,0,1,0.0
25,104,남대문로5가,1084,0,0,102,0,0.0
26,106,봉래동2가,0,0,0,0,1,0.0
27,107,회현동1가,3710,0,0,0,1,0.0
28,108,회현동2가,840,0,0,0,2,0.0
29,112,명동1가,10,0,0,0,1,0.0
30,115,남산동2가,766,0,0,0,1,0.0
31,116,남산동3가,59,0,0,220,0,0.0
32,118,충무로4가,1531,0,0,0,1,0.0
33,122,묵정동,824,0,0,0,1,0.0
34,128,예장동,752,0,0,31,0,0.0
35,130,장충동2가,3003,1,0,25,1,0.04
36,134,을지로6가,105,0,0,49,0,0.0
37,135,을지로7가,87,0,0,0,1,0.0
38,136,을지로4가,102,0,0,10,0,0.0
39,148,신당동,72662,2,0,179,2,0.0111731844
40,151,황학동,12525,0,0,35,1,0.0285714286
41,154,순화동,1245,0,0,0,1,0.0
42,159,만리동1가,1353,0,0,47,1,0.0212765957
43,161,후암동,18126,0,0,41,0,0.0
44,162,용산동2가,10529,1,0,16,1,0.0625
45,165,남영동,646,1,0,19,0,0.0
46,166,용산동1가,0,0,0,0,2,0.0
47,169,청파동1가,7709,1,0,29,0,0.0
48,172,원효로1가,5895,0,0,0,2,0.0
49,174,신창동,2481,1,0,86,0,0.0
50,175,산천동,5659,0,0,48,0,0.0
51,176,청암동,669,0,0,0,1,0.0
52,179,효창동,8918,1,0,21,0,0.0
53,181,용문동,6615,0,0,25,0,0.0
54,182,문배동,5302,0,0,0,4,0.0
55,184,한강로1가,3237,0,0,0,2,0.0
56,185,한강로2가,5695,0,0,146,0,0.0
57,187,용산동5가,2247,0,0,0,1,0.0
58,188,한강로3가,5699,0,0,0,2,0.0
59,189,이촌동,37287,0,1,130,4,0.0307692308
60,190,이태원동,16353,1,0,83,0,0.0
61,191,한남동,20553,1,0,130,1,0.00769230769
62,193,서빙고동,6110,0,1,40,0,0.0
63,195,용산동6가,0,0,0,0,1,0.0
64,196,보광동,14760,1,0,16,0,0.0
65,197,상왕십리동,3918,0,0,0,2,0.0
66,198,하왕십리동,33313,1,0,104,2,0.0192307692
67,201,마장동,23458,0,0,150,1,0.00666666667
68,202,사근동,6803,1,0,27,1,0.037037037
69,203,행당동,46042,2,0,125,2,0.016
70,204,응봉동,16147,0,0,23,0,0.0
71,205,금호동1가,16006,0,0,40,1,0.025
72,206,금호동2가,10591,1,0,50,1,0.02
73,208,금호동4가,15199,0,0,49,2,0.0408163265
74,209,옥수동,27003,0,0,109,0,0.0
75,210,성수동1가,31967,1,1,610,3,0.00491803279
76,211,성수동2가,28971,1,6,186,2,0.0107526882
77,212,송정동,11303,0,0,20,0,0.0
78,213,용답동,13303,1,0,63,1,0.0158730159
79,214,중곡동,86051,4,0,133,0,0.0
80,215,능동,11458,0,0,22,0,0.0
81,216,구의동,80004,2,0,152,3,0.0197368421
82,217,광장동,35996,0,0,71,2,0.0281690141
83,218,자양동,98591,3,0,252,7,0.0277777778
84,219,화양동,21673,1,0,28,0,0.0
85,220,군자동,19851,1,0,36,0,0.0
86,222,용두동,27479,1,0,92,0,0.0
87,223,제기동,25053,1,0,38,0,0.0
88,224,전농동,50363,1,0,108,4,0.037037037
89,225,답십리동,57582,2,0,158,3,0.0189873418
90,226,장안동,69795,2,0,171,1,0.00584795322
91,227,청량리동,21899,1,0,34,0,0.0
92,228,회기동,10109,1,0,10,1,0.1
93,229,휘경동,37291,1,0,72,5,0.0694444444
94,230,이문동,41389,2,0,51,1,0.0196078431
95,231,면목동,139849,3,0,262,3,0.0114503817
96,232,상봉동,44511,2,0,100,5,0.05
97,233,중화동,48760,1,0,81,2,0.024691358
98,234,묵동,55893,0,0,94,3,0.0319148936
99,235,망우동,49289,0,0,187,2,0.0106951872
100,236,신내동,62849,0,0,205,3,0.0146341463
101,237,성북동,10926,0,0,53,0,0.0
102,239,돈암동,41614,1,0,93,5,0.0537634409
103,246,동소문동7가,2455,0,0,0,1,0.0
104,248,삼선동2가,7254,0,0,0,2,0.0
105,249,삼선동3가,4548,0,0,71,1,0.014084507
106,252,동선동1가,1117,0,0,16,0,0.0
107,261,안암동5가,1963,1,0,20,2,0.1
108,264,보문동6가,6539,1,0,47,1,0.0212765957
109,269,정릉동,84113,1,0,261,4,0.0153256705
110,270,길음동,44545,1,0,145,2,0.0137931034
111,271,종암동,40637,0,0,75,1,0.0133333333
112,272,하월곡동,41625,0,0,78,2,0.0256410256
113,273,상월곡동,9811,0,0,0,1,0.0
114,274,장위동,46463,2,0,123,1,0.0081300813
115,275,석관동,32903,1,0,62,2,0.0322580645
116,276,미아동,139019,2,1,217,5,0.0230414747
117,277,번동,55365,0,0,149,3,0.0201342282
118,278,수유동,110770,3,0,185,1,0.00540540541
119,279,우이동,11413,1,0,55,0,0.0
120,280,쌍문동,79324,0,0,118,4,0.0338983051
121,281,방학동,80249,1,0,240,13,0.0541666667
122,282,창동,126114,5,0,244,16,0.0655737705
123,283,도봉동,51231,2,2,116,2,0.0172413793
124,284,월계동,81962,2,2,159,3,0.0188679245
125,285,공릉동,79495,2,0,166,15,0.0903614458
126,286,하계동,52953,0,0,69,1,0.0144927536
127,287,상계동,211868,4,0,462,11,0.0238095238
128,288,중계동,113309,0,0,181,11,0.0607734807
129,289,수색동,9816,0,0,33,0,0.0
130,290,녹번동,37230,1,0,119,1,0.00840336134
131,291,불광동,70325,2,0,93,0,0.0
132,292,갈현동,54757,2,0,62,0,0.0
133,293,구산동,33750,1,0,62,0,0.0
134,294,대조동,31896,0,0,27,0,0.0
135,295,응암동,72208,0,0,193,2,0.0103626943
136,296,역촌동,48876,1,0,69,2,0.0289855072
137,297,신사동,50639,2,0,193,1,0.00518134715
138,298,증산동,16179,0,0,41,0,0.0
139,299,진관동,55757,0,0,219,4,0.0182648402
140,304,냉천동,3271,0,0,0,1,0.0
141,305,천연동,5083,0,0,30,0,0.0
142,309,북아현동,27383,2,0,102,0,0.0
143,310,홍제동,53600,1,0,94,3,0.0319148936
144,312,대신동,1396,0,0,0,2,0.0
145,313,신촌동,694,1,0,37,0,0.0
146,316,연희동,36930,0,0,133,3,0.022556391
147,317,홍은동,50685,2,0,118,1,0.00847457627
148,318,북가좌동,52914,0,0,136,2,0.0147058824
149,319,남가좌동,41739,2,0,105,2,0.019047619
150,320,아현동,26173,0,0,0,4,0.0
151,321,공덕동,26647,0,0,208,4,0.0192307692
152,322,신공덕동,12603,0,0,0,3,0.0
153,323,도화동,22575,1,0,52,1,0.0192307692
154,324,용강동,7855,0,0,79,2,0.0253164557
155,326,마포동,2879,0,0,0,2,0.0
156,327,대흥동,13833,1,0,29,1,0.0344827586
157,328,염리동,13775,0,0,91,3,0.032967033
158,329,노고산동,5876,0,0,0,1,0.0
159,330,신수동,13831,1,0,54,0,0.0
160,333,창전동,14296,0,0,0,1,0.0
161,334,상수동,7764,1,0,72,2,0.0277777778
162,336,신정동,1674,2,0,486,11,0.0226337449
163,338,서교동,19671,1,0,81,1,0.012345679
164,340,합정동,18924,0,0,55,3,0.0545454545
165,341,망원동,41106,1,0,106,0,0.0
166,342,연남동,15975,1,0,40,1,0.025
167,343,성산동,50981,2,0,162,2,0.012345679
168,345,상암동,32780,1,2,150,1,0.00666666667
169,346,신정동,180051,2,0,486,11,0.0226337449
170,347,목동,156341,1,0,351,7,0.0199430199
171,348,신월동,122997,6,0,336,7,0.0208333333
172,349,염창동,41252,0,3,112,0,0.0
173,350,등촌동,78155,0,0,178,2,0.0112359551
174,351,화곡동,232287,8,0,399,2,0.00501253133
175,352,가양동,48154,0,0,69,1,0.0144927536
176,353,마곡동,50255,1,1,638,9,0.0141065831
177,354,내발산동,47850,1,0,205,6,0.0292682927
178,355,외발산동,959,0,4,0,0,0.0
179,356,공항동,19831,0,5,0,0,0.0
180,357,방화동,75015,1,0,47,3,0.0638297872
181,358,개화동,1931,0,0,130,0,0.0
182,359,과해동,0,0,1,0,1,0.0
183,360,오곡동,9,1,0,202,0,0.0
184,362,신도림동,37182,0,0,83,2,0.0240963855
185,363,구로동,123283,3,1,3313,11,0.00332025355
186,364,가리봉동,9599,1,0,8,1,0.125
187,365,고척동,52658,1,0,100,7,0.07
188,366,개봉동,87988,0,4,156,2,0.0128205128
189,367,오류동,49110,1,0,142,2,0.014084507
190,368,궁동,15462,1,0,44,0,0.0
191,370,천왕동,13532,0,0,0,3,0.0
192,371,항동,3565,0,0,67,1,0.0149253731
193,372,가산동,20828,0,12,157,1,0.00636942675
194,373,독산동,102095,4,0,234,3,0.0128205128
195,374,시흥동,111017,4,0,271,2,0.0073800738
196,375,영등포동,14668,1,0,46,0,0.0
197,376,영등포동1가,2188,0,1,0,1,0.0
198,377,영등포동2가,3560,0,1,0,1,0.0
199,380,영등포동5가,1908,0,0,115,0,0.0
200,384,여의도동,33747,0,0,1537,4,0.00260247235
201,385,당산동1가,6572,1,1,92,0,0.0
202,386,당산동2가,4813,0,0,0,1,0.0
203,387,당산동3가,9425,0,0,0,3,0.0
204,388,당산동4가,13884,0,1,0,1,0.0
205,391,당산동,7394,1,0,113,0,0.0
206,392,도림동,18863,0,0,40,1,0.025
207,395,문래동3가,14481,0,0,110,6,0.0545454545
208,400,양평동2가,7046,0,0,48,0,0.0
209,401,양평동3가,11948,0,1,0,0,0.0
210,402,양평동4가,6782,0,1,0,0,0.0
211,403,양평동5가,5892,0,1,0,1,0.0
212,404,양평동6가,3472,0,0,88,0,0.0
213,406,신길동,91887,5,0,198,6,0.0303030303
214,407,대림동,50169,2,0,111,3,0.027027027
215,409,노량진동,31945,1,1,22,0,0.0
216,410,상도동,122601,3,0,257,6,0.0233463035
217,412,본동,11921,1,0,78,0,0.0
218,413,흑석동,32473,0,0,72,1,0.0138888889
219,414,동작동,4839,0,0,61,1,0.0163934426
220,415,사당동,100915,3,0,153,2,0.0130718954
221,416,대방동,39774,0,0,59,8,0.13559322
222,417,신대방동,44612,0,0,124,0,0.0
223,418,봉천동,226495,2,0,439,7,0.0159453303
224,419,신림동,256737,5,0,444,9,0.0202702703
225,420,남현동,18849,1,0,24,0,0.0
226,421,방배동,107392,2,0,291,9,0.0309278351
227,422,양재동,38828,0,2,0,3,0.0
228,423,우면동,30079,1,0,990,8,0.00808080808
229,424,원지동,294,1,0,225,0,0.0
230,425,잠원동,54329,0,0,131,2,0.0152671756
231,426,반포동,81352,1,0,451,7,0.0155210643
232,427,서초동,99629,0,1,1460,14,0.0095890411
233,428,내곡동,8734,0,0,154,2,0.012987013
234,429,염곡동,1103,0,0,0,2,0.0
235,430,신원동,8440,0,0,0,1,0.0
236,431,역삼동,72232,2,0,887,8,0.00901916573
237,432,개포동,49981,0,0,366,1,0.00273224044
238,433,청담동,29907,0,0,167,3,0.0179640719
