연번,자치구명,주유소명,주소,법정동,기존주소법정동
1,용산구,현대오일뱅크(주) 직영소월길주유소,서울특별시 용산구 소월로66 (후암동),후암동,서울특별시 용산구 소월로66 (후암동)후암동
2,용산구,선익상사(주) 동자동주유소,서울특별시 용산구 한강대로 104길 6 (동자동),동자동,서울특별시 용산구 한강대로 104길 6 (동자동)동자동
3,용산구,현대오일뱅크㈜ 직영갈월동주유소,서울특별시 용산구 한강대로 322 (갈월동),갈월동,서울특별시 용산구 한강대로 322 (갈월동)갈월동
4,용산구,서계주유소,서울특별시 용산구 청파로 367 (서계동),서계동,서울특별시 용산구 청파로 367 (서계동)서계동
5,용산구,㈜영원에너지 풍기주유소,서울특별시 용산구 원효로178 (원효로 1동),원효로2가,서울특별시 용산구 원효로178 (원효로 1동)원효로2가
6,용산구,㈜신태성주유소,서울특별시 용산구 원효로 147 (원효로 2동),원효로3가,서울특별시 용산구 원효로 147 (원효로 2동)원효로3가
7,용산구,현대오일뱅크㈜ 직영강변주유소,서울특별시 용산구 원효로 9 (청암동),청암동,서울특별시 용산구 원효로 9 (청암동)청암동
8,용산구,한국석유공업㈜ 한석주유소,서울특별시 용산구 이촌로 164 (이촌동),이촌동,서울특별시 용산구 이촌로 164 (이촌동)이촌동
9,용산구,(주)중앙에너비스 한남지점,서울특별시 용산구 한남대로 21길 4 (한남동),한남동,서울특별시 용산구 한남대로 21길 4 (한남동)한남동
10,용산구,한남제3한강주유소 주식회사,서울특별시 용산구 한남대로 45 (한남동),한남동,서울특별시 용산구 한남대로 45 (한남동)한남동
11,용산구,주식회사 중앙에너비스 에너비스,서울특별시 용산구 한남대로 82 (한남동),한남동,서울특별시 용산구 한남대로 82 (한남동)한남동
12,용산구,현대오일뱅크㈜ 직영한남동주유소,서울특별시 용산구 한남대로 204 (한남동),한남동,서울특별시 용산구 한남대로 204 (한남동)한남동
13,용산구,㈜남경주유소,서울특별시 용산구 녹사평대로 11길 24 (서빙고동),서빙고동,서울특별시 용산구 녹사평대로 11길 24 (서빙고동)서빙고동
14,성동구,금호주유소,서울특별시 성동구 금호로 39(금호동),금호동4가,서울특별시 성동구 금호로 39(금호동)금호동4가
15,성동구,세원주유소,서울특별시 성동구 광나루로 184(성수동),성수동1가,서울특별시 성동구 광나루로 184(성수동)성수동1가
16,성동구,SK에너지㈜ 성수주유소,서울특별시 성동구 뚝섬로 352(성수동),성수동1가,서울특별시 성동구 뚝섬로 352(성수동)성수동1가
17,성동구,KH에너지㈜ 직영 성수만세주유소,서울특별시 성동구 왕십리로 109(성수동),성수동1가,서울특별시 성동구 왕십리로 109(성수동)성수동1가
18,성동구,현대오일뱅크㈜ 직영 효진주유소,서울특별시 성동구 동일로 129(성수동),성수동2가,서울특별시 성동구 동일로 129(성수동)성수동2가
19,성동구,지에스칼텍스㈜ 도루코주유소,서울특별시 성동구 아차산로 180(성수동),성수동2가,서울특별시 성동구 아차산로 180(성수동)성수동2가
20,성동구,협진제유산업㈜ 동일주유소,서울특별시 성동구 광나루로 254(성수동),성수동2가,서울특별시 성동구 광나루로 254(성수동)성수동2가
21,성동구,아이콘주유소,서울특별시 성동구 고산자로 273(도선동),도선동,서울특별시 성동구 고산자로 273(도선동)도선동
22,성동구,㈜ 서울에너지,서울특별시 성동구 천호대로 324(용답동),용답동,서울특별시 성동구 천호대로 324(용답동)용답동
23,성동구,삼우주유소,서울특별시 성동구 천호대로 392(용답동),용답동,서울특별시 성동구 천호대로 392(용답동)용답동
24,성동구,SK에너지㈜ 군자동주유소,서울특별시 성동구 천호대로 446(용답동),용답동,서울특별시 성동구 천호대로 446(용답동)용답동
25,성동구,KLP제2주유소,서울특별시 성동구 동일로 249(송정동),송정동,서울특별시 성동구 동일로 249(송정동)송정동
26,성동구,경진주유소,서울특별시 성동구 고산자로 348(마장동),마장동,서울특별시 성동구 고산자로 348(마장동)마장동
27,성동구,정호주유소,서울특별시 성동구 고산자로 307(마장동),마장동,서울특별시 성동구 고산자로 307(마장동)마장동
28,성동구,현대오일뱅크㈜ 성동셀프주유소,서울특별시 성동구 마장로 311(마장동),마장동,서울특별시 성동구 마장로 311(마장동)마장동
29,성동구,옥수주유소,서울특별시 성동구 독서당로 168(옥수동),옥수동,서울특별시 성동구 독서당로 168(옥수동)옥수동
30,성동구,청계로주유소,서울특별시 성동구 청계천로 454(하왕십리동),하왕십리동,서울특별시 성동구 청계천로 454(하왕십리동)하왕십리동
31,광진구,삼호주유소,서울특별시 광진구 천호대로 809(광장동),광장동,서울특별시 광진구 천호대로 809(광장동)광장동
32,광진구,㈜창원씨더블유,서울특별시 광진구 광나루로 460(화양동),화양동,서울특별시 광진구 광나루로 460(화양동)화양동
33,광진구,지에스칼텍스㈜구의스타주유소,서울특별시 광진구 자양로 103(자양동),자양동,서울특별시 광진구 자양로 103(자양동)자양동
34,광진구,중원주유소(현대오일뱅크㈜직영주유소),서울특별시 광진구 동일로 398(중곡동),중곡동,서울특별시 광진구 동일로 398(중곡동)중곡동
35,광진구,대성산업㈜구의주유소,서울특별시 광진구 광나루로 570(구의동),구의동,서울특별시 광진구 광나루로 570(구의동)구의동
36,광진구,현대오일뱅크㈜직영 장호셀프주유소,서울특별시 광진구 자양로 37(자양동),자양동,서울특별시 광진구 자양로 37(자양동)자양동
37,광진구,용마주유소,서울특별시 광진구 용마산로 68(중곡동),중곡동,서울특별시 광진구 용마산로 68(중곡동)중곡동
38,광진구,㈜장수주유소,서울특별시 광진구 동일로 266(군자동),군자동,서울특별시 광진구 동일로 266(군자동)군자동
39,광진구,자양주유소,서울특별시 광진구 아차산로 298(자양동),자양동,서울특별시 광진구 아차산로 298(자양동)자양동
40,광진구,능동주유소(현대오일뱅크㈜직영주유소),서울특별시 광진구 천호대로 584(능동),능동,서울특별시 광진구 천호대로 584(능동)능동
41,광진구,동서울주유소,서울특별시 광진구 강변역로 10(구의동),구의동,서울특별시 광진구 강변역로 10(구의동)구의동
42,광진구,강평주유소,서울특별시 광진구 아차산로 616(광장동),광장동,서울특별시 광진구 아차산로 616(광장동)광장동
43,광진구,태양주유소,서울특별시 광진구 동일로 345(중곡동),중곡동,서울특별시 광진구 동일로 345(중곡동)중곡동
44,광진구,대원주유소,서울특별시 광진구 용마산로 122(중곡동),중곡동,서울특별시 광진구 용마산로 122(중곡동)중곡동
45,광진구,중곡현대주유소(현대오일뱅크㈜직영주유소),서울특별시 광진구 동일로 435(중곡동),중곡동,서울특별시 광진구 동일로 435(중곡동)중곡동
46,광진구,정해네트웍스(주)일진주유소,서울특별시 광진구 동일로 413(중곡동),중곡동,서울특별시 광진구 동일로 413(중곡동)중곡동
47,동대문구,㈜안국에너지 삼원주유소,서울특별시 동대문구 망우로 90(휘경동),휘경동,서울특별시 동대문구 망우로 90(휘경동)휘경동
48,동대문구,현대오일뱅크㈜ 직영 스피드 주유소 ,서울특별시 동대문구 천호대로 453(장안동),장안동,서울특별시 동대문구 천호대로 453(장안동)장안동
49,동대문구,㈜경동주유소 ,서울특별시 동대문구 이문로 191(이문동),이문동,서울특별시 동대문구 이문로 191(이문동)이문동
50,동대문구,삼미상사㈜ 장안킹셀프주유소 ,서울특별시 동대문구 한천로 100(장안동),장안동,서울특별시 동대문구 한천로 100(장안동)장안동
51,동대문구,㈜재건에너지 재정제2주유소 ,서울특별시 동대문구 사가정로 90(전농동),전농동,서울특별시 동대문구 사가정로 90(전농동)전농동
52,동대문구,열린주유소,서울특별시 동대문구 한천로 263(휘경동),휘경동,서울특별시 동대문구 한천로 263(휘경동)휘경동
53,동대문구,삼영주유소 ,서울특별시 동대문구 답십리로 258(장안동),장안동,서울특별시 동대문구 답십리로 258(장안동)장안동
54,동대문구,동서울고속주유소,서울특별시 동대문구 한천로 414(이문동),이문동,서울특별시 동대문구 한천로 414(이문동)이문동
55,동대문구,㈜자연에너지 국민주유소 ,서울특별시 동대문구 답십리로 223(답십리동),답십리동,서울특별시 동대문구 답십리로 223(답십리동)답십리동
56,동대문구,배봉로주유소,서울특별시 동대문구 서울특별시립대로 108(전농동),전농동,서울특별시 동대문구 서울특별시립대로 108(전농동)전농동
57,동대문구,한영주유소 ,서울특별시 동대문구 망우로 38(휘경동),휘경동,서울특별시 동대문구 망우로 38(휘경동)휘경동
58,동대문구,오동나무주유소,서울특별시 동대문구 한천로 81(답십리동),답십리동,서울특별시 동대문구 한천로 81(답십리동)답십리동
59,동대문구,동일석유㈜강남주유소,서울특별시 동대문구 사가정로 130(전농동),전농동,서울특별시 동대문구 사가정로 130(전농동)전농동
60,동대문구,㈜파랑에너지,서울특별시 동대문구 망우로 126(휘경동),휘경동,서울특별시 동대문구 망우로 126(휘경동)휘경동
61,동대문구,대성산업㈜청량리주유소,서울특별시 동대문구 왕산로 289(청량리동),청량리동,서울특별시 동대문구 왕산로 289(청량리동)청량리동
62,동대문구,㈜홍릉주유소,서울특별시 동대문구 홍릉로 87(청량리동),청량리동,서울특별시 동대문구 홍릉로 87(청량리동)청량리동
63,동대문구,재정주유소 ,서울특별시 동대문구 전농로 121(전농동),전농동,서울특별시 동대문구 전농로 121(전농동)전농동
64,동대문구,풍한주유소 ,서울특별시 동대문구 안암로 168(제기동),제기동,서울특별시 동대문구 안암로 168(제기동)제기동
65,동대문구,대성산업㈜동마장 주유소,서울특별시 동대문구 고산자로 405(용두동),용두동,서울특별시 동대문구 고산자로 405(용두동)용두동
66,성북구,동일주유소,서울특별시 성북구 보문로 85 (보문동),보문동5가,서울특별시 성북구 보문로 85 (보문동)보문동5가
67,성북구,현대오일뱅크(주)직영 아리랑주유소,서울특별시 성북구 아리랑로 96 (정릉동),정릉동,서울특별시 성북구 아리랑로 96 (정릉동)정릉동
68,성북구,장위주유소,서울특별시 성북구 화랑로 110 (하월곡동),하월곡동,서울특별시 성북구 화랑로 110 (하월곡동)하월곡동
69,성북구,지에스칼텍스(주) 세창주유소,서울특별시 성북구 동소문로 323 (길음동),길음동,서울특별시 성북구 동소문로 323 (길음동)길음동
70,성북구,지에스칼텍스(주) 종암주유소,서울특별시 성북구 종암로 145 (종암동),종암동,서울특별시 성북구 종암로 145 (종암동)종암동
71,성북구,현대오일뱅크(주)직영 광덕셀프주유소,서울특별시 성북구 보문로 89 (보문동),보문동4가,서울특별시 성북구 보문로 89 (보문동)보문동4가
72,성북구,(주)중앙에너비스 종암지점,서울특별시 성북구 종암로 58 (종암동),종암동,서울특별시 성북구 종암로 58 (종암동)종암동
